Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,18.750000,19.958332,18.000000,18.333332,13.817266,8220000
1999-01-05,17.583332,18.312500,16.958332,18.083332,13.628847,9488400
1999-01-06,18.666668,19.791668,18.666668,19.625000,14.790760,7461600
1999-01-07,19.083332,19.416668,19.000000,19.333332,14.570935,7049400
1999-01-08,19.645832,20.291668,19.270832,20.291668,15.293198,6481200
1999-01-11,20.666668,21.312500,20.500000,20.979168,15.811349,7276200
1999-01-12,20.812500,20.833332,20.187500,20.208332,15.230394,7343400
1999-01-13,18.166668,19.375000,18.083332,18.833332,14.194105,8399400
1999-01-14,19.166668,19.437500,18.125000,18.270832,13.770157,4178100
1999-01-15,18.625000,19.979168,18.500000,19.916668,15.010578,4665000
1999-01-19,21.000000,21.000000,19.416668,20.208332,15.230394,8011500
1999-01-20,21.166668,21.833332,20.833332,21.291668,16.046877,8303100
1999-01-21,21.000000,21.020832,19.166668,19.875000,14.979173,7797000
1999-01-22,19.375000,19.520832,18.854168,19.166668,14.445333,6578700
1999-01-25,19.479168,19.833332,19.104168,19.666668,14.822162,5218800
1999-01-26,19.958332,21.458332,19.895832,21.333332,16.078266,6249000
1999-01-27,21.291668,23.000000,21.250000,22.791668,17.177378,9739800
1999-01-28,22.895832,23.604168,22.520832,23.062500,17.381495,8224500
1999-01-29,23.250000,23.812500,22.854168,23.437500,17.664120,6318300
1999-02-01,23.520832,24.041668,23.166668,23.312500,17.569906,6141000
1999-02-02,23.229168,23.395832,22.541668,22.875000,17.240183,6204000
1999-02-03,22.854168,23.000000,22.291668,22.666668,17.083168,4630800
1999-02-04,22.666668,23.500000,22.083332,22.166668,16.706335,5466000
1999-02-05,22.250000,22.541668,21.312500,22.020832,16.596415,5810100
1999-02-08,22.625000,22.645832,21.125000,21.833332,16.455105,3868800
1999-02-09,21.833332,22.187500,20.937500,20.958332,15.795645,3825900
1999-02-10,20.937500,21.375000,20.229168,21.000000,15.834101,6539700
1999-02-11,21.125000,22.916668,21.104168,22.333332,16.839437,6596400
1999-02-12,22.291668,22.291668,20.729168,20.895832,15.755557,6502200
1999-02-16,21.666668,22.125000,21.666668,22.125000,16.682358,4684200
1999-02-17,21.833332,22.895832,21.500000,21.666668,16.336771,5910300
1999-02-18,21.833332,22.562500,21.208332,22.458332,16.933695,4402200
1999-02-19,22.458332,23.333332,22.333332,23.020832,17.357817,5162400
1999-02-22,23.229168,24.333332,23.229168,23.979168,18.080406,6729900
1999-02-23,23.979168,24.979168,23.937500,24.270832,18.300322,7673400
1999-02-24,24.333332,24.979168,22.854168,23.000000,17.342113,7161900
1999-02-25,23.000000,23.666668,22.083332,23.312500,17.577738,7314000
1999-02-26,23.479168,25.000000,22.875000,24.854168,18.740162,6430800
1999-03-01,24.666668,24.750000,23.854168,24.229168,18.268911,6732000
