"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2019","44.03","43.47","44.20","43.47","10.31M","1.62%"
"03/15/2019","43.33","42.68","43.47","42.54","18.99M","1.50%"
"03/14/2019","42.69","42.30","42.92","42.30","8.35M","0.66%"
"03/13/2019","42.41","42.40","42.65","42.20","9.27M","0.90%"
"03/12/2019","42.03","41.95","42.19","41.82","7.20M","0.43%"
"03/11/2019","41.85","41.70","42.20","41.66","7.19M","1.18%"
"03/08/2019","41.36","40.58","41.49","40.40","11.75M","0.46%"
"03/07/2019","41.17","41.32","41.35","40.63","12.50M","-1.08%"
"03/06/2019","41.62","41.83","42.09","41.59","7.06M","-0.67%"
"03/05/2019","41.90","41.98","42.04","41.19","10.45M","-0.24%"
"03/04/2019","42.00","42.55","43.10","41.80","12.12M","-1.18%"
"03/01/2019","42.50","42.35","42.87","42.35","12.34M","1.24%"
"02/28/2019","41.98","42.49","42.62","41.84","12.30M","-1.36%"
"02/27/2019","42.56","42.47","42.71","42.25","6.92M","0.35%"
"02/26/2019","42.41","41.98","42.68","41.63","10.40M","0.52%"
"02/25/2019","42.19","42.13","42.86","42.11","10.80M","0.96%"
"02/22/2019","41.79","42.05","42.24","41.60","10.13M","-0.41%"
"02/21/2019","41.96","42.39","42.52","41.69","9.60M","-1.08%"
"02/20/2019","42.42","42.09","42.48","42.02","10.03M","0.62%"
"02/19/2019","42.16","41.58","42.28","41.43","9.40M","0.40%"
"02/15/2019","41.99","41.16","42.08","41.13","13.29M","3.12%"
"02/14/2019","40.72","40.81","41.53","40.28","10.41M","-1.14%"
"02/13/2019","41.19","41.50","42.03","41.16","9.53M","0.10%"
"02/12/2019","41.15","40.65","41.50","40.65","12.40M","2.34%"
"02/11/2019","40.21","41.00","41.08","40.19","17.06M","-1.47%"
"02/08/2019","40.81","41.03","41.34","40.12","13.99M","-1.62%"
"02/07/2019","41.48","42.11","42.18","41.03","12.75M","-2.12%"
"02/06/2019","42.38","42.30","42.85","42.09","9.74M","-0.16%"
"02/05/2019","42.45","42.38","42.56","42.22","9.97M","-0.02%"
"02/04/2019","42.46","41.90","42.46","41.68","8.72M","1.53%"
"02/01/2019","41.82","42.30","42.73","41.79","13.32M","-1.13%"
"01/31/2019","42.30","42.30","42.67","42.17","11.16M","-1.15%"
"01/30/2019","42.79","42.35","42.97","42.06","12.35M","0.71%"
"01/29/2019","42.49","42.53","42.70","42.11","9.92M","-0.38%"
"01/28/2019","42.65","42.44","42.73","42.06","10.40M","-0.77%"
"01/25/2019","42.98","42.67","43.25","42.55","13.42M","2.21%"
"01/24/2019","42.05","41.95","42.58","41.84","13.42M","-0.24%"
"01/23/2019","42.15","42.52","42.62","41.66","15.58M","-0.61%"
