"MacroTrends Data Download"
"SCHW - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1989-06-30,0.1690,0.1690,0.1633,0.1690,2061293
1989-07-03,0.1690,0.1748,0.1690,0.1729,1167585
1989-07-05,0.1767,0.1805,0.1748,0.1805,1137878
1989-07-06,0.1824,0.1864,0.1824,0.1864,4107915
1989-07-07,0.1864,0.1921,0.1864,0.1882,5156992
1989-07-10,0.1882,0.1959,0.1882,0.1939,2131505
1989-07-11,0.1959,0.1959,0.1939,0.1939,1433715
1989-07-12,0.1939,0.1959,0.1939,0.1959,1183805
1989-07-13,0.1939,0.1959,0.1939,0.1959,1360815
1989-07-14,0.1939,0.1959,0.1921,0.1939,3264280
1989-07-17,0.1959,0.2036,0.1939,0.1997,2176202
1989-07-18,0.2036,0.2133,0.2017,0.2113,1848015
1989-07-19,0.2343,0.2343,0.2151,0.2285,5868313
1989-07-20,0.2343,0.2382,0.2323,0.2323,5205607
1989-07-21,0.2343,0.2343,0.2248,0.2266,1787417
1989-07-24,0.2248,0.2248,0.2228,0.2248,1495817
1989-07-25,0.2228,0.2266,0.2228,0.2248,1368880
1989-07-26,0.2252,0.2252,0.2212,0.2252,838213
1989-07-27,0.2271,0.2386,0.2271,0.2368,2095192
1989-07-28,0.2348,0.2443,0.2309,0.2406,3985215
1989-07-31,0.2443,0.2540,0.2425,0.2540,2741678
1989-08-01,0.2559,0.2617,0.2522,0.2522,6969878
1989-08-02,0.2522,0.2579,0.2522,0.2522,2868615
1989-08-03,0.2540,0.2540,0.2463,0.2483,1725315
1989-08-04,0.2502,0.2502,0.2368,0.2406,1876492
1989-08-07,0.2425,0.2483,0.2425,0.2443,2151917
1989-08-08,0.2463,0.2463,0.2425,0.2443,928792
1989-08-09,0.2443,0.2443,0.2425,0.2425,1405193
1989-08-10,0.2406,0.2443,0.2348,0.2443,1952080
1989-08-11,0.2443,0.2463,0.2309,0.2348,3318317
1989-08-14,0.2368,0.2386,0.2348,0.2348,1093500
1989-08-15,0.2368,0.2368,0.2271,0.2348,3146683
1989-08-16,0.2328,0.2348,0.2289,0.2289,2198983
1989-08-17,0.2289,0.2309,0.2252,0.2289,1915493
1989-08-18,0.2289,0.2309,0.2271,0.2289,959683
1989-08-21,0.2309,0.2309,0.2289,0.2289,1147492
1989-08-22,0.2271,0.2271,0.2194,0.2212,2406885
1989-08-23,0.2212,0.2309,0.2212,0.2309,1094685
1989-08-24,0.2328,0.2425,0.2328,0.2406,2352893
1989-08-25,0.2425,0.2502,0.2425,0.2443,5771083
1989-08-28,0.2463,0.2502,0.2406,0.2443,3215710
1989-08-29,0.2406,0.2443,0.2386,0.2443,3306015
1989-08-30,0.2463,0.2463,0.2443,0.2443,413115
1989-08-31,0.2463,0.2463,0.2425,0.2425,1082702
1989-09-01,0.2386,0.2425,0.2386,0.2386,1767005
1989-09-05,0.2406,0.2443,0.2406,0.2425,572402
1989-09-06,0.2443,0.2443,0.2348,0.2406,1879180
1989-09-07,0.2425,0.2425,0.2386,0.2406,1232420
1989-09-08,0.2425,0.2425,0.2406,0.2425,365685
1989-09-11,0.2406,0.2406,0.2386,0.2386,390015
1989-09-12,0.2406,0.2425,0.2386,0.2406,1385100
1989-09-13,0.2406,0.2406,0.2348,0.2368,657285
1989-09-14,0.2348,0.2368,0.2232,0.2289,2459692
1989-09-15,0.2271,0.2289,0.2212,0.2212,2042385
1989-09-18,0.2252,0.2252,0.2174,0.2232,1475405
1989-09-19,0.2212,0.2252,0.2212,0.2252,1665902
1989-09-20,0.2271,0.2289,0.2252,0.2252,510300
1989-09-21,0.2271,0.2289,0.2252,0.2271,1223080
1989-09-22,0.2309,0.2309,0.2289,0.2309,426602
1989-09-25,0.2271,0.2289,0.2271,0.2289,190178
1989-09-26,0.2289,0.2289,0.2194,0.2232,5195993
1989-09-27,0.2212,0.2212,0.2155,0.2174,2770200
1989-09-28,0.2155,0.2155,0.2078,0.2117,1447202
1989-09-29,0.2117,0.2155,0.2117,0.2155,791102
1989-10-02,0.2174,0.2174,0.2117,0.2155,1738802
1989-10-03,0.2155,0.2271,0.2155,0.2271,1466110
1989-10-04,0.2289,0.2289,0.2252,0.2252,1196107
1989-10-05,0.2271,0.2271,0.2252,0.2271,2022292
1989-10-06,0.2271,0.2309,0.2271,0.2271,1694105
1989-10-09,0.2271,0.2271,0.2252,0.2271,603293
1989-10-10,0.2271,0.2271,0.2212,0.2212,931480
1989-10-11,0.2212,0.2212,0.2174,0.2174,810010
1989-10-12,0.2194,0.2194,0.2155,0.2155,600605
1989-10-13,0.2174,0.2194,0.1963,0.1963,2389480
1989-10-16,0.1809,0.1904,0.1789,0.1904,7589710
1989-10-17,0.1943,0.1963,0.1848,0.1904,4892410
1989-10-18,0.1848,0.1904,0.1848,0.1904,850515
1989-10-19,0.1925,0.2001,0.1868,0.1983,1397083
1989-10-20,0.2001,0.2098,0.2001,0.2098,1410615
1989-10-23,0.2098,0.2155,0.2078,0.2098,1532085
1989-10-24,0.2137,0.2137,0.2040,0.2058,2016915
1989-10-25,0.2058,0.2078,0.2058,0.2058,299710
1989-10-26,0.2045,0.2063,0.1968,0.1968,2969992
1989-10-27,0.1948,0.1948,0.1909,0.1929,6809407
1989-10-30,0.1948,0.1988,0.1948,0.1968,656100
1989-10-31,0.1968,0.2006,0.1968,0.2006,1641617
1989-11-01,0.2026,0.2026,0.2006,0.2006,199792
1989-11-02,0.2026,0.2026,0.1988,0.2006,364500
1989-11-03,0.1988,0.2006,0.1968,0.1968,408878
1989-11-06,0.1968,0.1988,0.1929,0.1929,892205
1989-11-07,0.1929,0.1948,0.1909,0.1948,1293292
1989-11-08,0.1948,0.2045,0.1929,0.2006,1259393
1989-11-09,0.2006,0.2063,0.2006,0.2063,1514680
1989-11-10,0.2063,0.2103,0.2063,0.2083,1077280
1989-11-13,0.2083,0.2083,0.2063,0.2063,394207
1989-11-14,0.2063,0.2103,0.2063,0.2083,1402505
1989-11-15,0.2083,0.2103,0.2063,0.2083,1615783
1989-11-16,0.2063,0.2083,0.2045,0.2045,2198983
1989-11-17,0.2045,0.2063,0.2045,0.2045,145800
1989-11-20,0.2006,0.2026,0.2006,0.2006,481778
